Geneid	incl0801.srt.bam	incl0802.srt.bam	ivcl0801.srt.bam	ivcl0802.srt.bam	incl1601.srt.bam	incl1602.srt.bam	ivcl1601.srt.bam	ivcl1602.srt.bam	incl3201.srt.bam	incl3202.srt.bam	ivcl3201.srt.bam	ivcl3202.srt.bam
LOC101115943	0	0	0	0	0	0	0	0	0	0	0	0
TMEM47	157	191	1023	922	438	308	2248	802	4	6	582	925
LOC106991962	0	0	0	0	0	0	0	0	0	0	0	0
LOC101120633	0	0	0	0	0	0	0	0	0	0	0	0
LOC101115436	0	0	0	0	0	0	0	0	0	0	0	0
LOC105605421	0	0	0	0	0	0	0	0	0	0	0	0
LOC101120383	0	0	0	0	0	0	0	0	0	0	0	0
LOC105605420	0	0	0	0	0	0	0	0	0	0	0	0
LOC101114936	0	0	0	0	0	0	0	0	0	0	0	0
LOC106991957	0	0	0	0	0	0	0	0	0	0	0	0
LOC105605415	0	0	0	0	0	0	0	0	0	0	0	0
LOC105605416	0	0	0	0	0	0	0	0	0	0	0	0
DMD	1368	1013	5127	5246	1004	930	6402	3660	24	86	4534	3101
LOC101113916	0	0	10	0	0	0	0	0	0	0	0	0
TAB3	279	633	478	935	544	205	610	951	11	72	672	317
GK	0	45	639	512	143	41	2872	1099	45	1039	621	607
CXHXorf21	0	40	21	33	8	65	24	52	0	0	0	0
LOC101113393	0	0	0	0	0	0	0	1	0	0	0	0
LOC105605411	4	12	44	34	42	50	109	52	0	0	6	51
NR0B1	0	1	11	9	3	0	7	15	0	0	1	8
LOC106990480	0	0	0	0	0	0	0	0	0	0	0	0
LOC101112886	0	36	44	28	0	0	85	24	2	27	46	47
LOC106991961	0	0	0	2	0	0	0	8	0	0	0	19
LOC106991960	0	0	0	0	0	0	0	27	0	0	0	23
LOC101117392	0	0	0	0	0	0	0	2	0	0	0	2
LOC101112379	0	0	0	0	0	0	0	0	0	0	0	0
LOC101112117	0	0	0	0	3	0	0	0	0	0	0	5
TRNAK-CUU	15	33	5	0	4	0	19	3	1	1	0	0
LOC105605662	0	0	0	0	0	0	0	0	0	0	0	0
IL1RAPL1	52	104	252	514	108	76	427	234	0	0	296	258
LOC101116885	39	29	4	0	18	26	0	4	10	78	0	0
LOC101116631	17910	12268	5846	6118	7659	7139	8429	4021	305	1649	8050	5837
LOC101111863	7	151	0	0	385	54	9	171	0	0	0	0
LOC101111610	0	76	0	0	0	0	0	0	0	0	0	0
LOC101111347	4	0	0	0	14	30	0	0	0	4	0	74
LOC101111077	0	0	0	0	0	0	0	0	0	0	0	0
LOC101110823	52	328	0	0	409	0	38	104	4	116	0	114
LOC101110571	89	20	41	83	79	230	30	159	26	17	122	173
LOC101116377	0	0	0	0	0	0	0	0	0	0	0	0
LOC105605406	0	0	0	0	0	0	0	2	2	0	0	0
LOC101110036	0	0	0	0	0	0	0	0	0	0	0	0
LOC101116122	0	103	0	0	66	0	24	23	0	22	0	22
LOC101115855	1	0	0	6	0	2	4	12	0	0	5	0
LOC101109519	27	0	0	10	0	0	8	0	0	0	41	0
ARX	98	4	38	0	24	0	61	0	0	0	153	0
LOC105605403	11	17	18	8	4	2	27	24	8	43	41	16
POLA1	391	787	1492	892	889	304	3339	1797	69	998	1427	1474
PCYT1B	43	89	115	141	52	33	60	193	0	0	71	96
PDK3	4259	5900	7887	5687	3730	3040	17215	9590	62	647	9264	9622
LOC105609982	0	0	0	4	4	0	0	0	0	0	66	0
LOC101108196	34	12	0	12	35	0	2	10	0	0	22	0
ZFX	3563	5002	2501	1173	6155	1803	3063	3474	79	657	1771	2414
EIF2S3	4445	3978	3363	2839	4900	3095	6302	3476	408	3366	3207	2199
KLHL15	1320	1510	924	181	1435	382	1740	570	152	536	3986	1239
CXHXorf58	45	815	1140	1173	236	420	829	1216	2	61	56	602
APOO	851	744	656	619	914	464	770	1132	462	3115	353	906
SAT1	10956	5711	1748	2552	6892	4766	1999	3610	139	387	9896	3815
LOC105605399	6	0	0	4	0	0	4	2	0	0	22	0
ACOT9	752	1523	4471	467	1039	1201	5635	1263	613	3424	612	238
PRDX4	126	726	287	206	729	230	163	387	90	1851	110	264
PTCHD1	0	34	53	66	0	0	36	6	0	0	92	0
DDX53	0	0	0	0	0	0	0	0	0	0	0	0
LOC106991986	53	4	31	20	67	14	15	8	0	0	15	59
PHEX	46	0	49	242	0	0	226	72	2	0	63	30
SMS	199	193	414	463	169	122	540	413	137	562	430	304
YY2	0	0	14	0	1	0	20	0	28	66	0	0
MBTPS2	0	169	396	188	159	68	309	280	34	61	98	113
SMPX	0	0	0	0	0	0	0	0	0	0	0	0
KLHL34	0	0	0	0	0	0	0	0	0	0	0	0
CNKSR2	4	45	276	453	16	21	197	400	0	0	360	147
LOC101105889	0	0	0	0	0	0	6	0	0	0	0	0
LOC101105635	0	0	0	0	0	0	0	0	0	0	0	0
LOC106991959	0	0	0	0	0	0	0	0	0	0	0	0
LOC101105138	0	0	54	0	0	0	0	0	0	0	0	0
RPS6KA3	2225	3118	1778	583	2378	895	2284	866	67	428	217	1233
EIF1AX	16832	34900	2748	2576	41808	16037	1397	6330	1905	12518	11985	6189
MAP7D2	102	147	292	901	0	2	839	290	0	0	106	248
CXHXorf23	100	206	389	186	61	88	2604	268	91	69	314	109
LOC101110649	0	0	0	13	4	0	0	0	1	2	0	0
SH3KBP1	1148	3971	9523	12798	795	1585	7908	5850	58	132	13774	3946
MAP3K15	51	224	758	665	183	126	926	1152	232	380	534	597
PDHA1	2440	5767	424	1303	6667	3920	1336	2811	462	3390	1543	490
LOC105605389	79	30	20	117	0	3	5	25	0	0	27	298
LOC101104638	0	0	0	0	0	0	0	0	0	0	0	0
LOC105605388	0	0	0	0	0	0	54	0	0	0	2	0
ADGRG2	80	463	433	356	248	0	330	312	6	0	161	156
PHKA2	1859	2218	9498	16580	1534	1689	15025	8610	4	329	13090	6600
PPEF1	4874	5147	7333	12650	4213	3707	9896	11202	91	467	7841	8633
TRNAV-UAC	0	0	0	0	0	20	2	0	0	1	0	0
TRNAF-GAA	20	1	10	17	0	3	15	4	0	0	0	9
RS1	0	0	0	0	0	0	10	0	0	0	0	3
LOC105605386	0	0	0	7	0	0	0	0	0	0	4	0
CDKL5	595	1392	2006	2972	234	447	4447	2901	24	0	1463	1585
LOC105605385	0	0	0	2	0	0	0	0	4	0	0	0
SCML2	3176	4856	4288	2183	4382	650	7653	4730	20	108	2219	4154
BEND2	1	227	42	0	316	1	24	0	0	0	6	0
LOC101103626	0	0	0	0	0	0	0	0	0	0	0	0
LOC101103378	0	0	0	0	0	0	0	0	0	0	0	0
RAI2	0	0	0	0	0	0	0	12	0	0	24	0
LOC105605384	0	0	0	50	0	0	6	0	0	0	0	0
SCML1	0	117	12	16	0	0	0	105	0	0	0	0
LOC105605382	0	77	18	34	109	17	26	43	0	0	15	38
LOC105605383	0	0	0	0	0	0	0	0	0	0	0	0
NHS	15	44	114	128	77	48	148	162	0	0	56	92
LOC106991958	0	0	0	0	0	0	0	0	0	0	0	0
LOC101102624	0	0	0	0	0	0	0	0	0	0	0	0
REPS2	17	160	138	62	66	14	401	327	29	4	332	295
LOC105605379	0	0	0	0	0	0	0	0	0	0	0	0
RBBP7	61803	124205	82802	99142	126540	52185	165259	87139	900	10631	81728	54650
TXLNG	296	783	2369	1578	426	327	5329	3288	74	643	1425	1208
SYAP1	145	539	1114	1170	313	238	868	1475	106	1181	544	630
S100G	0	0	0	0	0	0	0	0	0	0	0	0
CTPS2	0	0	109	243	192	0	101	69	0	25	32	64
LOC106990650	0	0	0	0	0	0	0	4	0	0	0	0
LOC105605373	0	0	0	0	0	14	0	0	0	0	0	0
GRPR	0	0	0	0	0	0	0	0	0	0	0	0
LOC105605374	0	0	0	0	0	0	8	0	0	0	0	0
AP1S2	5391	6723	4890	3426	8716	4732	11574	9618	533	1736	4951	10007
ZRSR2	1566	3473	3135	3203	1369	1596	6388	4390	60	219	2376	1373
CA5B	10	23	4	19	27	20	14	8	22	237	22	25
LOC105605369	208	283	327	233	434	124	456	376	10	31	209	379
LOC105605370	19	4	9	17	19	19	17	5	0	1	5	20
LOC105605371	37	7	7	15	20	10	15	3	2	1	8	6
CDC42	8249	6005	8797	6665	5607	4940	20948	12709	1052	7480	6737	15499
TMEM27	944	838	241	444	683	242	565	380	20	54	223	612
ACE2	0	19	1	0	0	0	12	2	4	0	0	10
BMX	0	0	0	0	0	0	3	0	0	0	0	0
LOC105605365	0	0	0	0	0	0	0	32	0	0	8	0
LOC105605367	0	0	0	0	0	0	0	0	0	0	0	0
PIR	249	380	987	1120	324	67	1226	955	3	0	539	421
FIGF	0	0	0	0	0	0	34	66	0	0	0	42
LOC105605368	3	21	0	0	15	10	0	0	0	0	0	5
PIGA	1287	1493	288	212	1487	468	780	372	80	445	58	220
ASB11	1976	2698	7330	10815	1654	2344	15247	11955	60	457	5673	5600
ASB9	0	0	0	0	0	0	0	0	0	0	67	0
LOC101122834	12	7	2	1	14	6	6	19	2	20	0	3
MOSPD2	605	593	1275	1755	760	321	5095	2980	68	338	1243	2366
LOC105605362	0	0	0	0	0	1	0	0	0	0	0	0
FANCB	932	1849	1873	3497	1720	1380	2674	3179	0	60	1747	2561
GLRA2	0	0	0	0	4	0	0	0	0	0	0	0
LOC106990383	0	0	0	0	0	0	2	0	0	0	0	0
LOC101121398	0	0	0	0	0	0	0	0	0	0	0	0
LOC105605360	279	960	1507	817	467	613	855	115	6	32	655	843
GEMIN8	23	34	87	62	54	28	59	130	8	84	23	49
LOC105605357	2	38	18	13	21	13	18	19	0	0	1	5
GPM6B	10	857	390	38	84	62	892	637	4	8	672	124
OFD1	447	244	1708	1270	665	493	1300	1677	68	473	1064	829
TRAPPC2	5321	9016	8612	11002	7332	7998	21988	11307	38	251	3320	5159
RAB9A	683	1595	2897	3209	1672	431	4516	5121	122	727	2759	1720
LOC105605354	0	0	0	0	0	0	0	0	0	0	0	0
EGFL6	59	0	35	8	0	0	0	0	0	0	0	0
TMSB4X	111508	67055	66021	52185	129433	114649	95163	86058	1572	8123	77751	113677
TLR8	1843	2620	2747	2489	2453	1538	4026	4111	0	34	2341	2268
TLR7	739	716	192	1051	370	309	1141	700	3	60	1085	498
LOC106991985	0	72	69	58	0	4	73	18	0	0	88	74
PRPS2	1461	3109	8773	10673	1821	896	16435	8231	142	686	9610	4212
FRMPD4	95	338	70	88	14	0	10	153	0	0	88	0
MSL3	263	1252	540	530	751	684	1557	700	86	441	1228	583
LOC105605348	0	0	0	0	0	0	0	0	0	0	0	0
AMELX	0	0	0	0	0	0	0	8	0	0	0	0
ARHGAP6	4	8	138	68	0	0	95	247	12	97	124	19
LOC101118248	927	2716	2661	2319	1657	1020	3758	4056	363	2988	767	1798
LOC105605347	25	55	35	51	13	1	104	27	0	0	9	33
LOC106990249	0	0	0	0	0	0	0	0	0	0	0	0
LOC101121403	1	0	14	1	0	0	0	1	0	0	2	0
MID1	4265	6819	24778	26146	3644	3613	23979	24366	1	3	15966	8467
LOC101120895	0	0	0	0	104	0	0	0	0	0	0	0
LOC106990532	0	0	0	0	0	0	0	0	0	0	0	0
CLDN34	0	0	45	10	0	0	0	0	0	0	0	40
LOC106990535	0	0	0	0	0	0	0	0	0	0	0	0
WWC3	447	737	2069	2271	170	337	1929	1224	150	676	2870	1253
CLCN4	210	296	638	255	231	187	726	169	6	50	812	341
LOC105605344	0	0	0	0	0	0	0	8	0	0	0	0
LOC105605341	0	0	0	0	0	0	0	0	0	0	0	0
SHROOM2	0	289	974	835	67	81	818	781	0	17	730	185
GPR143	1100	31	145	46	774	415	0	513	0	60	2470	625
TBL1X	513	1395	3497	5499	753	472	3368	3878	703	2451	3233	1780
LOC105605337	0	0	0	0	0	0	0	0	0	0	0	0
ANOS1	0	0	28	32	0	0	17	30	0	70	93	1
LOC105605335	4	0	119	2	0	14	0	20	30	297	40	0
LOC106991979	0	0	0	0	0	0	0	0	0	0	0	0
LOC105605336	178	479	134	87	706	135	167	114	45	494	994	529
PNPLA4	0	72	169	36	179	93	98	50	25	229	56	80
LOC105605334	0	0	0	0	0	0	0	0	0	0	0	0
STS	0	2	2	12	11	0	41	14	0	0	0	41
PUDP	511	640	2989	1958	173	228	2349	1085	382	2380	2725	550
NLGN4X	0	0	0	0	0	15	2	42	0	0	0	0
LOC106991978	0	0	0	0	0	0	0	0	0	0	0	0
LOC101116799	0	0	0	0	0	0	0	0	0	0	0	0
LOC101116537	0	0	0	0	0	0	0	0	0	0	0	0
LOC101116281	0	0	0	0	0	0	0	0	0	0	0	0
LOC105605670	0	0	0	0	0	0	0	0	0	0	0	0
LOC101116018	0	0	0	0	0	0	0	0	0	0	0	0
LOC101117055	3378	2602	1973	4020	2944	4441	5047	4763	235	1262	1793	4238
LOC105605322	14	0	0	0	26	18	16	1	0	18	0	0
LOC105605323	0	0	14	11	8	31	10	2	0	0	0	2
PRKX	501	722	311	396	950	622	100	270	93	445	1682	159
LOC105605320	0	0	0	0	0	0	0	0	0	18	0	0
LOC105605321	6	137	12	6	46	0	29	0	20	69	540	27
LOC105605319	0	0	0	0	0	0	0	0	28	31	30	0
MXRA5	0	0	301	60	0	0	297	34	0	0	174	14
LOC105605318	32	0	145	60	1	1	70	40	0	28	22	5
LOC101116287	0	0	0	2	0	0	0	0	0	0	0	0
ARSE	0	0	0	0	0	0	0	0	0	0	0	0
LOC101116024	0	0	0	0	0	0	0	0	0	0	0	0
GYG2	0	0	0	0	2	7	0	0	182	28	0	0
XG	0	6	0	0	7	0	0	0	14	62	0	0
CD99	1636	3570	831	256	2015	2108	546	519	4418	42049	4102	558
ZBED1	0	0	0	12	0	0	0	0	0	0	0	6
DHRSX	0	10	11	0	0	0	10	65	4	16	6	2
LOC106990378	0	0	0	0	0	0	21	0	0	0	0	0
ASMT	24	52	440	223	19	88	395	114	2	100	295	332
AKAP17A	6	0	61	69	0	0	69	35	2	8	137	85
P2RY8	0	0	44	12	0	0	0	0	0	0	30	0
ASMTL	3	3	2	2	0	2	7	0	0	22	18	0
SLC25A6	155	199	1086	531	43	123	225	477	520	4615	3102	473
IL3RA	0	0	0	0	2	0	0	0	0	0	13	25
LOC105605313	22	44	58	20	8	62	63	39	2	0	25	10
LOC101115509	0	96	163	69	0	32	48	30	17	104	2	58
CRLF2	0	3	0	25	0	64	13	20	0	18	146	0
LOC105605310	0	0	0	0	0	0	0	0	0	0	0	0
LOC105605292	0	62	167	226	16	26	197	332	0	91	101	22
LOC105605293	0	0	0	0	0	0	0	0	0	18	0	0
ZNF385D	0	0	0	0	0	7	0	0	0	0	1	0
LOC105605288	0	2	0	0	2	2	60	0	0	0	0	0
LOC105605283	0	0	0	0	2	0	0	0	0	0	0	0
LOC105605284	2	110	15	4	2	0	0	4	26	47	78	14
LOC101102122	175	90	61	24	260	260	28	63	127	1229	59	99
LOC105605280	0	0	0	0	0	0	0	0	9	53	0	0
LOC105605281	7	2	0	0	0	0	0	0	12	53	0	0
UBE2E2	2	0	17	11	3	18	23	17	130	511	0	15
LOC106990476	2	0	10	11	0	0	0	0	0	0	11	0
UBE2E1	272	474	901	154	515	417	88	71	144	489	349	447
NKIRAS1	0	163	381	571	106	0	441	482	4	39	222	132
RPL15	1391	937	611	696	3133	2439	1308	1771	1102	11030	1180	1685
NR1D2	0	0	4	8	0	28	6	78	7	22	2	40
LOC105601914	0	0	3	0	3	1	1	0	0	2	0	0
LOC101103293	0	0	0	0	0	0	6	0	0	0	0	0
THRB	6	2	0	62	6	16	52	85	0	0	0	0
LOC106991956	11	245	468	581	36	243	529	537	0	0	427	251
RARB	6328	12680	14107	15606	3088	6710	14047	10016	46	1075	12245	22006
LOC106991955	0	0	59	0	0	0	5	0	2	0	0	0
TOP2B	1987	1870	8204	7325	2266	3422	11422	6720	781	3023	6473	5521
LOC105605270	0	0	0	0	0	0	2	0	5	0	0	0
LOC105605269	0	130	0	0	0	1	0	0	2	94	0	4
NGLY1	33878	25671	39859	35439	22888	17576	65688	26807	594	3121	49057	36007
LOC105605266	0	0	0	0	0	0	85	0	0	0	30	0
OXSM	628	1536	1875	6373	2407	1098	5534	6338	185	1325	2268	2839
LOC106991954	0	0	0	0	0	0	0	0	0	7	0	0
LOC105605263	0	2	9	9	2	0	7	4	2	1	4	6
LRRC3B	0	0	0	0	0	0	0	0	26	4	0	0
LOC101121146	0	0	0	0	0	0	0	0	0	0	0	0
LOC101120889	0	0	19	0	0	0	14	40	0	94	4	0
PSD3	9	10	190	276	3	10	126	123	0	36	291	116
SH2D4A	0	1	0	0	0	15	0	0	23	158	0	26
LOC101120469	0	0	0	0	0	0	0	0	0	0	0	0
LOC105605252	0	1	0	0	0	0	0	0	0	0	0	0
INTS10	138	960	2735	3126	775	526	1543	4391	116	1286	944	1657
HGSNAT	367	419	796	167	590	304	287	345	66	232	94	74
POMK	69	0	41	39	19	38	0	2	28	305	0	0
FNTA	339	1994	3391	3932	938	983	2634	3654	188	1238	1063	3233
HOOK3	4925	8290	8519	16506	6652	4799	18823	11833	88	568	11729	13016
LOC105605248	0	0	18	2	0	0	0	2	0	12	0	0
RNF170	439	377	718	309	453	402	424	600	98	447	548	439
LOC105605247	0	8	2	0	9	9	0	4	0	2	5	0
THAP1	1286	2983	4478	3498	2856	2658	4418	3966	148	828	3207	4512
CHRNA6	0	0	2	9	0	0	0	29	0	0	0	0
CHRNB3	0	0	0	0	0	0	0	0	0	0	9	0
SMIM19	455	774	2445	1764	421	321	2191	1339	150	780	1000	1151
LOC105605295	0	0	0	0	0	0	0	0	0	0	0	0
SLC20A2	122	359	172	44	156	198	113	289	9	54	76	285
VDAC3	1591	1680	2029	2134	1951	1189	3237	2760	127	1553	1449	2148
DKK4	0	0	0	0	0	2	0	0	0	15	0	0
POLB	2038	4609	6187	6468	4904	4855	10115	8860	234	2044	3886	4695
LOC105605246	0	0	1	9	0	0	0	2	2	0	0	0
IKBKB	215	417	1188	2027	232	175	847	750	37	413	603	93
PLAT	27	22	99	53	4	0	55	60	0	0	65	39
LOC105605245	40	13	0	0	896	0	0	0	0	0	0	0
AP3M2	258	337	790	939	260	99	1079	915	9	32	805	582
KAT6A	943	1471	3376	4701	1369	1176	9662	5037	20	133	2475	4730
LOC105605242	0	0	0	0	0	0	0	2	0	0	0	0
ANK1	3	1	0	0	0	0	26	20	0	0	0	3
NKX6-3	0	0	0	0	0	0	0	0	0	0	0	0
GPAT4	532	1624	3504	4361	437	649	1149	5841	60	440	1932	1347
GINS4	2111	8095	11497	12620	4310	4923	11191	19317	175	5124	10570	8234
GOLGA7	15825	31581	30764	31464	19865	24924	25997	36595	383	4385	40296	39969
SFRP1	82	0	84	122	62	0	28	50	2	4	459	166
LOC105605240	2	0	0	0	0	2	18	0	8	0	0	0
ZMAT4	0	0	16	6	34	10	8	0	45	0	59	6
C26H8orf4	0	2	0	0	0	0	0	0	0	0	0	0
IDO2	10	0	2	0	12	0	0	0	0	0	0	0
IDO1	0	1288	0	0	0	0	0	0	0	0	0	0
LOC101120301	0	6	0	0	1	0	0	0	14	0	0	0
LOC105605237	0	0	0	0	1	0	0	0	0	0	0	0
LOC105605236	1	0	0	0	0	2	0	0	0	0	0	0
ADAM2	0	2	0	0	0	0	0	0	0	0	0	0
LOC101115758	0	0	0	0	0	0	0	0	0	0	0	0
LOC101119791	0	0	0	0	0	0	0	0	0	0	0	0
LOC101115256	0	0	0	0	0	1	0	0	0	0	0	0
ADAM32	2	317	155	68	23	56	92	88	1	0	68	180
ADAM9	1861	2975	1262	1295	2679	1906	3004	1059	152	779	1406	2138
TM2D2	411	970	2586	2018	549	441	4533	1619	131	1663	1598	563
HTRA4	22	2	0	1	12	0	0	1	0	0	0	0
PLEKHA2	0	0	0	0	18	3	3	0	292	56	56	0
TACC1	1172	463	1688	633	286	912	2635	1995	273	1871	2191	1475
LOC105605233	0	1	0	5	0	0	0	0	0	22	0	0
FGFR1	0	82	201	54	5	7	213	151	2	188	208	16
LETM2	4356	8105	14920	16644	9032	5328	15165	29046	20	160	9097	5292
WHSC1L1	201	395	1814	1828	358	341	2026	1725	69	601	3263	1567
PLPP5	0	0	159	61	101	74	34	79	31	262	112	121
DDHD2	773	902	5429	6168	1011	607	15705	5096	65	649	2642	2982
LOC100037668	4	0	0	1	0	15	0	0	2	13	0	0
BAG4	276	141	615	174	268	236	714	187	246	1115	198	317
LSM1	13074	16215	13704	11191	18018	16059	22796	14803	746	5592	8472	15042
STAR	167	467	1002	1176	94	205	1036	712	16	353	752	579
ASH2L	312	856	1025	995	244	731	4362	2211	67	1266	2334	1768
EIF4EBP1	9	6	72	14	0	3	45	18	25	253	51	47
ADRB3	0	0	0	0	0	0	0	0	0	5	0	0
LOC106991953	9	0	24	1	15	0	0	7	0	0	0	2
GOT1L1	10	0	36	37	0	0	32	73	0	0	0	0
RAB11FIP1	64	147	182	72	48	6	33	20	145	1094	231	69
BRF2	130	399	92	104	228	226	82	343	11	619	276	339
ADGRA2	0	2	0	0	0	0	0	2	0	0	28	0
PROSC	3643	4007	3244	1205	1368	3430	2048	1723	527	7924	2424	1111
ERLIN2	478	9	939	1034	145	403	2265	612	91	594	914	458
LOC105605232	0	0	299	98	38	10	0	0	0	0	134	0
ZNF703	2	0	2	5	0	0	7	3	0	0	2	4
LOC105605231	0	0	7	6	0	0	0	0	0	0	0	0
LOC105607919	0	0	0	0	0	1	0	0	0	0	0	0
LOC105605229	0	0	0	0	0	0	1	0	0	0	0	0
LOC105605227	0	0	0	0	0	0	0	0	0	0	0	0
KCNU1	0	0	2	0	2	0	0	24	0	0	0	0
LOC105605224	1	0	2	0	0	0	4	0	0	0	0	4
LOC101109940	0	0	0	0	2	2	0	5	0	0	0	0
LOC101109675	350	446	256	325	371	521	330	249	45	301	214	68
TRNAK-UUU	0	0	0	0	1	15	0	0	0	40	1	30
LOC101109417	2	0	3	0	3	0	2	1	0	1	0	2
UNC5D	76	539	223	77	261	338	32	34	0	0	346	60
LOC105606408	67	449	367	351	0	360	70	574	0	0	148	270
DUSP26	0	0	0	0	0	0	1	1	0	0	0	0
RNF122	307	233	3368	3362	317	499	2227	2252	94	524	1614	962
TTI2	4749	6133	2297	2557	4319	5912	3184	4982	408	3791	2546	2317
MAK16	6532	5863	1488	1585	8729	4777	1908	3634	240	2285	1265	2421
LOC101108106	0	1	39	2	0	0	0	36	0	0	1	0
FUT10	0	246	460	296	3	0	261	104	18	48	148	132
LOC101115938	0	0	0	0	0	11	4	0	0	25	0	0
NRG1	1391	358	1297	543	572	664	630	952	73	531	612	665
LOC105605215	6	5	0	0	31	10	0	0	0	0	0	0
WRN	431	231	338	904	796	543	1433	1517	120	424	1395	1213
PURG	108	201	471	216	131	30	300	446	4	10	736	168
LOC105605209	0	0	0	4	0	6	6	0	0	42	0	0
TEX15	513	822	235	123	303	196	736	183	2	102	191	240
PPP2CB	6941	4248	468	44	3784	4879	64	1056	125	1006	434	783
LOC101114673	4	0	4	8	6	2	6	1	2	10	12	2
UBXN8	703	840	312	94	899	1256	278	664	15	399	74	274
LOC101105800	0	0	0	0	0	0	0	4	0	0	0	1
GSR	1423	1136	364	124	349	532	512	181	209	2735	246	295
SMIM18	1	37	0	13	34	0	2	2	9	57	3	0
LOC101105551	2	0	2	2	8	2	0	14	2	4	0	22
GTF2E2	2238	2732	2403	1748	2209	2259	2991	4218	411	1880	2158	2102
LOC106991952	1	14	0	0	14	39	17	4	9	122	2	8
RBPMS	215	371	410	297	449	398	338	669	36	234	94	300
LOC105605208	16	4	0	0	0	0	4	0	0	0	0	0
DCTN6	1676	2567	564	1160	2661	3700	1331	1706	475	5252	456	362
LOC105605202	13	0	0	1	44	26	0	0	0	10	0	0
MBOAT4	0	0	0	0	0	0	0	0	0	0	0	0
LEPROTL1	2577	3296	2182	1809	3793	3056	6811	3972	175	1896	1291	2200
SARAF	3195	2266	3988	1902	1721	2800	7699	4364	303	2600	2965	3156
LOC101114164	297	391	175	185	368	341	236	229	14	175	203	186
LOC105605199	16	0	26	24	0	0	2	0	0	0	0	101
LOC105605200	0	0	0	0	0	0	0	0	0	0	0	0
DUSP4	0	0	95	0	16	0	0	0	0	0	131	40
LOC105601882	0	0	0	28	4	0	0	0	0	0	68	0
LOC106991951	0	0	1	9	3	0	0	0	2	7	36	0
TNKS	885	1753	1985	2081	894	891	1093	1538	64	636	2073	1079
PPP1R3B	0	0	98	18	0	2	128	0	0	0	52	34
ERI1	12966	11519	8676	3082	13720	13162	5908	9926	292	2494	5659	6524
LOC105605187	16	9	3	2	19	32	11	16	0	6	75	28
MFHAS1	419	427	2621	2472	184	365	1896	2957	0	73	1825	1569
LOC105605306	1	36	71	157	0	0	303	156	0	0	127	74
LOC105605305	6	161	125	149	36	1	346	159	0	0	185	229
CLDN23	20	1	6	2	0	0	127	2	8	36	1	4
LOC105605183	0	0	0	0	0	0	0	0	0	0	10	8
LOC101113127	5	120	290	299	34	25	218	280	32	248	129	114
LONRF1	529	287	179	84	128	192	322	153	16	163	364	149
LOC106991945	0	0	7	0	0	3	0	0	0	0	0	0
KIAA1456	0	0	0	0	0	0	2	4	1	0	6	120
C26H8orf48	2	8	178	392	4	36	262	290	4	120	180	214
DLC1	525	480	163	155	314	1130	68	585	511	1959	924	1016
LOC101122662	84	118	346	214	82	92	141	255	2	39	80	163
LOC106991950	52	36	24	113	0	0	12	0	1	0	99	8
LOC106991943	0	0	0	0	0	5	0	0	0	0	0	0
C26H16orf87	1469	3248	2208	1881	3264	1518	858	2893	556	4124	275	3428
SGCZ	0	0	0	0	0	11	20	15	0	0	0	0
TUSC3	400	455	750	270	242	174	538	109	6	16	583	251
MSR1	58	1385	0	121	0	0	2	52	0	0	0	1
LOC105605178	0	0	29	72	0	0	109	63	0	4	0	88
FGF20	28	125	242	262	70	30	425	528	0	0	50	241
LOC105605177	72	224	134	275	19	62	306	180	2	0	241	191
MICU3	18	0	0	0	2	6	35	22	4	31	136	14
ZDHHC2	635	635	359	449	412	526	333	381	113	189	364	1287
CNOT7	17597	12907	24009	20550	13347	9699	29626	18850	436	4478	16266	22899
LOC105605173	29	47	16	118	67	32	14	114	4	0	90	43
LOC105605174	208	215	0	0	223	136	0	28	62	227	0	60
VPS37A	2292	5655	2761	3960	2901	2818	3077	9266	303	1478	2026	3090
LOC105605175	0	0	0	0	0	0	0	0	0	0	0	0
MTMR7	2551	4444	7060	8651	1517	1799	8304	5137	17	67	7527	6285
SLC7A2	1099	1099	4964	5341	451	279	6515	4204	0	0	4616	1456
PDGFRL	2	0	0	0	0	2	0	14	32	67	0	0
MTUS1	4197	4213	4114	4090	3465	1985	3922	6895	119	69	3309	2619
FGL1	0	5	0	0	0	3	46	0	0	0	0	16
LOC101118415	0	0	0	0	43	0	0	0	12	7	0	12
PCM1	6371	4378	4129	6987	2646	2759	13600	5284	617	3826	5317	6816
ASAH1	408	498	686	1075	532	701	2132	1543	0	0	787	457
LOC101110566	1	1	3	2	1	2	2	5	0	2	1	1
FRG1	8389	5516	10179	10345	7337	6150	6925	15193	413	2880	4619	9589
LOC105605168	0	0	36	0	0	0	4	2	0	0	0	18
TRIML1	16	0	0	0	29	0	0	0	0	0	0	0
TRIML2	213	109	169	684	130	677	639	450	740	7009	126	297
ZFP42	2943	1733	515	0	2407	4901	0	1969	536	2298	0	2276
LOC106990547	8	57	107	58	94	4	165	32	5	47	0	17
LOC105605165	100	6	14	12	259	41	0	22	2	1	0	369
LOC106991949	1	2	30	36	40	9	37	13	0	1	0	6
LOC106990546	2	2	125	122	69	77	108	169	19	0	55	171
LOC105605167	0	0	0	0	0	0	0	0	0	18	0	0
LOC105605161	4	0	0	0	0	2	0	0	0	13	0	0
LOC105605163	0	23	0	0	0	0	0	0	9	10	0	0
FAT1	458	999	2034	2863	454	506	2829	1730	38	543	1065	793
